0,,N,CONJ,V,PRO
1,`e,0.011904761904761904,0.07142857142857144,0.018518518518518517,0.45833333333333337
2,`eg,0.011904761904761904,0.7857142857142858,0.018518518518518517,0.04166666666666667
3,ghah,0.011904761904761904,0.07142857142857144,0.018518518518518517,0.45833333333333337
4,ja`chuqmeH,0.011904761904761904,0.07142857142857144,0.20370370370370372,0.04166666666666667
5,legh,0.011904761904761904,0.07142857142857144,0.018518518518518517,0.04166666666666667
6,neH,0.011904761904761904,0.07142857142857144,0.20370370370370372,0.04166666666666667
7,pa`Daq,0.13095238095238096,0.07142857142857144,0.018518518518518517,0.04166666666666667
8,puq,0.25,0.07142857142857144,0.018518518518518517,0.04166666666666667
9,qIp,0.011904761904761904,0.07142857142857144,0.3888888888888889,0.04166666666666667
10,rojHom,0.13095238095238096,0.07142857142857144,0.018518518518518517,0.04166666666666667
11,taH,0.011904761904761904,0.07142857142857144,0.20370370370370372,0.04166666666666667
12,tera`ngan,0.488095238095238,0.07142857142857144,0.018518518518518517,0.04166666666666667
13,yaS,0.011904761904761904,0.07142857142857144,0.018518518518518517,0.04166666666666667
